Device_ID, LAAKA_CPU_s, LAAKA_Energy_J, Proposing_CPU_s, Proposing_Energy_J, CPU_Improvement_pct, Energy_Improvement_pct
       81,    0.215016,       0.013243,        0.33544 ,           0.02066 , -56.01             , -56.01
       82,    0.61008 ,       0.037601,        0.38908 ,           0.023975, 36.22              , 36.24
       83,    0.63416 ,       0.039089,        0.321872,           0.019817, 49.24              , 49.3
       84,    0.61308 ,       0.037786,        0.341016,           0.020981, 44.38              , 44.47
       85,    0.244016,       0.015036,        0.37208 ,           0.022924, -52.48             , -52.46
       86,    0.71108 ,       0.043843,        0.36208 ,           0.022302, 49.08              , 49.13
       87,    0.69808 ,       0.043039,        0.36144 ,           0.022244, 48.22              , 48.32
       88,    0.920336,       0.056775,        0.585336,           0.036103, 36.4               , 36.41
       89,    0.941336,       0.058073,        0.455336,           0.028069, 51.63              , 51.67
       90,    0.766672,       0.047278,        0.423336,           0.026087, 44.78              , 44.82
       91,    0.51016 ,       0.031426,        0.41508 ,           0.025582, 18.64              , 18.6
       92,    0.69008 ,       0.042545,        0.405016,           0.02496 , 41.31              , 41.33
       93,    0.238016,       0.014665,        0.34708 ,           0.021379, -45.82             , -45.78
       94,    0.212016,       0.013058,        0.45408 ,           0.027992, -114.17            , -114.37
       95,    0.304544,       0.018776,        0.517336,           0.031901, -69.87             , -69.9
       96,    0.282272,       0.0174  ,        0.407336,           0.025103, -44.31             , -44.27
       97,    0.759336,       0.046825,        0.479336,           0.029553, 36.87              , 36.89
       98,    0.352272,       0.021726,        0.486336,           0.029985, -38.06             , -38.01
       99,    0.273272,       0.016844,        0.544336,           0.03357 , -99.19             , -99.3
      100,    0.804336,       0.049606,        0.357336,           0.022013, 55.57              , 55.62
