Device_ID,Base_CPU_s,Base_Energy_J,Proposed_CPU_s,Proposed_Energy_J,LAAKA_CPU_s,LAAKA_Energy_J,Proposed_vs_Base_CPU_pct,Proposed_vs_LAAKA_CPU_pct,Proposed_vs_Base_Energy_pct,Proposed_vs_LAAKA_Energy_pct
82,0.301208,0.018565,0.252136,0.015540,0.451112,0.027803,16.29,44.11,16.29,44.11
83,0.380208,0.023447,0.228768,0.014095,0.526112,0.032438,39.83,56.52,39.89,56.55
84,0.361208,0.022272,0.243136,0.014983,0.422112,0.026011,32.69,42.40,32.73,42.40
85,0.357024,0.022014,0.254136,0.015663,0.551112,0.033983,28.82,53.89,28.85,53.91
86,0.468208,0.028885,0.243704,0.015018,0.519112,0.032005,47.95,53.05,48.01,53.08
87,0.471208,0.029071,0.246136,0.015169,0.594112,0.036640,47.76,58.57,47.82,58.60
88,0.446208,0.027526,0.372392,0.022971,0.748368,0.046173,16.54,50.24,16.55,50.25
89,0.475208,0.029318,0.315392,0.019449,0.637368,0.039314,33.63,50.52,33.66,50.53
90,0.400208,0.024683,0.215392,0.013269,0.581368,0.035853,46.18,62.95,46.24,62.99
91,0.374208,0.023076,0.311136,0.019186,0.375112,0.023106,16.85,17.06,16.86,16.97
92,0.373208,0.023015,0.222136,0.013686,0.525112,0.032376,40.48,57.70,40.53,57.73
97,0.375208,0.023138,0.340392,0.020994,0.528368,0.032577,9.28,35.58,9.27,35.56
100,0.332208,0.020480,0.222392,0.013701,0.591368,0.036471,33.06,62.39,33.10,62.43
